"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/09/2020","AQS","360610115","3","10.3","ug/m3 LC","43","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/10/2020","AQS","360610115","3","12","ug/m3 LC","50","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/11/2020","AQS","360610115","3","11.2","ug/m3 LC","47","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/12/2020","AQS","360610115","3","9.6","ug/m3 LC","40","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/13/2020","AQS","360610115","3","11.5","ug/m3 LC","48","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/14/2020","AQS","360610115","3","12.4","ug/m3 LC","52","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/15/2020","AQS","360610115","3","14.2","ug/m3 LC","55","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/16/2020","AQS","360610115","3","10.2","ug/m3 LC","43","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/17/2020","AQS","360610115","3","8.8","ug/m3 LC","37","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/19/2020","AQS","360610115","3","9.5","ug/m3 LC","40","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/20/2020","AQS","360610115","3","7.2","ug/m3 LC","30","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/21/2020","AQS","360610115","3","8.3","ug/m3 LC","35","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/22/2020","AQS","360610115","3","9.3","ug/m3 LC","39","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/23/2020","AQS","360610115","3","19.6","ug/m3 LC","67","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/24/2020","AQS","360610115","3","17.5","ug/m3 LC","62","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/25/2020","AQS","360610115","3","6","ug/m3 LC","25","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/26/2020","AQS","360610115","3","7","ug/m3 LC","29","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/27/2020","AQS","360610115","3","8.5","ug/m3 LC","35","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/28/2020","AQS","360610115","3","7.3","ug/m3 LC","30","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/29/2020","AQS","360610115","3","6.6","ug/m3 LC","28","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/30/2020","AQS","360610115","3","8.8","ug/m3 LC","37","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/31/2020","AQS","360610115","3","13.3","ug/m3 LC","54","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/01/2020","AQS","360610115","3","11.8","ug/m3 LC","49","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
